Accession	Control-08	Control-09	Control-10	Control-11	Control-12	Control-18	Control-19	Control-20	Lepto-01	Lepto-02	Lepto-03	Lepto-04	Lepto-05	Lepto-06	Lepto-13	Lepto-14	Lepto-15	Lepto-16	Lepto-17
XP_027446836.1	13.0	23.0	11.0	21.0	38.0	25.0	31.0	28.0	0.0	0.0	6.0	5.0	1.0	1.0	4.0	2.0	37.0	0.0	8.0
XP_027452965.1	14.0	1.0	0.0	0.0	0.0	1.0	8.0	48.0	9.0	17.0	17.0	19.0	23.0	11.0	14.0	11.0	25.0	14.0	22.0
XP_027455928.1	9.0	1.0	1.0	0.0	0.0	13.0	12.0	82.0	17.0	2.0	32.0	18.0	11.0	1.0	18.0	18.0	4.0	8.0	4.0
XP_027441910.1	9.0	12.0	15.0	11.0	13.0	13.0	31.0	38.0	17.0	2.0	17.0	10.0	7.0	3.0	17.0	13.0	7.0	4.0	11.0
XP_027458039.1 (+1)	0.9	6.7	3.0	1.0	11.8	6.0	4.9	8.9	34.2	9.9	21.3	29.7	53.9	2.9	13.7	13.8	11.6	10.9	4.9
XP_027470871.1	11.5	11.9	4.7	2.5	6.4	10.4	12.4	8.7	27.2	6.0	14.9	37.3	27.8	7.8	16.2	17.9	14.0	5.0	6.8
XP_027431174.1	27.0	17.0	17.0	11.0	6.0	19.0	12.0	15.0	12.0	1.0	15.0	19.0	12.0	1.0	8.0	19.0	19.0	8.0	8.0
XP_027442515.1 (+1)	19.0	17.0	12.0	7.0	11.0	17.0	14.0	6.0	12.0	1.0	21.0	19.0	18.0	5.0	7.0	20.0	14.0	11.0	15.0
XP_027446187.1	9.0	11.0	7.0	10.0	7.0	4.0	3.0	11.0	22.0	10.0	20.0	24.0	14.0	6.0	26.0	29.0	13.0	8.0	12.0
XP_027473645.1	19.0	13.0	12.0	17.0	5.0	9.0	3.0	6.0	13.0	7.0	36.0	24.0	7.0	3.0	10.0	23.0	14.0	10.0	14.0
XP_027461658.1_family	21.0	6.0	4.0	1.0	4.0	13.0	18.0	58.0	6.0	14.0	11.0	8.0	13.0	10.0	13.0	9.0	16.0	8.0	10.0
XP_027445165.1	0.0	0.0	0.0	0.0	1.0	1.0	11.0	9.0	23.0	1.0	28.0	5.0	5.0	0.0	105.0	43.0	0.0	1.0	9.0
XP_027436377.1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	19.0	4.0	46.0	5.0	23.0	5.0	32.0	56.0	18.0	5.0	17.0
XP_027480595.1	8.0	3.0	3.0	3.0	4.0	3.0	0.0	0.0	52.0	17.0	27.0	19.0	21.0	5.0	12.0	19.0	13.0	5.0	25.0
XP_027437468.1	9.0	4.0	4.0	6.0	9.0	6.0	6.0	10.0	7.0	25.0	5.0	6.0	41.0	32.0	14.0	10.0	18.0	13.0	13.0
XP_027465538.1	20.0	30.0	23.0	23.0	22.0	27.0	21.0	5.0	4.0	0.0	10.0	13.0	7.0	5.0	3.0	13.0	7.0	3.0	2.0
XP_027433493.1	8.0	30.0	0.0	19.0	50.0	28.0	13.0	18.5	1.0	0.0	24.6	4.0	9.0	1.0	12.0	14.0	1.0	1.0	2.0
XP_027445447.1_family	2.0	7.0	3.0	4.0	9.0	4.0	6.0	5.0	54.0	6.0	31.0	13.0	11.0	5.0	30.0	19.0	8.0	4.0	15.0
XP_027455616.1	20.0	5.0	16.0	9.0	16.0	24.0	9.0	4.0	12.0	12.0	6.0	13.0	9.0	19.0	12.0	6.0	23.0	7.0	12.0
XP_027433683.1	12.0	23.0	21.0	24.0	19.0	16.0	21.0	9.0	7.0	6.0	10.0	9.0	8.0	5.0	8.0	12.0	7.0	6.0	9.0
XP_027461311.1	12.0	7.0	6.0	6.0	7.0	3.0	7.0	10.0	12.0	12.0	29.0	12.0	22.0	14.0	13.0	19.0	12.0	9.0	19.0
XP_027436856.1	7.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.6	19.5	37.9	16.2	11.3	3.4	19.5	11.0	8.7	3.5	12.8
XP_027432045.1	6.0	0.0	0.0	0.0	0.0	4.0	0.0	28.0	17.0	4.0	51.0	13.0	13.0	3.0	34.3	35.0	9.0	5.0	7.0
XP_027468094.1	16.0	8.0	10.0	6.0	21.0	28.0	30.0	22.0	10.0	3.0	11.0	10.0	8.0	2.0	11.0	12.0	8.0	2.0	9.0
XP_027475354.1	11.0	5.0	7.0	0.0	5.0	15.0	19.0	26.0	10.0	6.0	14.0	17.0	16.0	5.0	13.0	22.0	13.0	7.0	14.0
